Programa,Numero_consecutivo,Numero_de_Ident_de_pieza,Date,Time,Recorrido_fusion_mm,Corriente_maxima_kA,Area_de_corriente_AS,Energia_acumulada_kJ,Fuerza_soldadura_kN,Corriente_max_1_kA,Area_de_Corriente_max_1_As,Corriente_max_2_kA,Area_de_Corriente_max_2_As,Corriente_max_3_kA,Area_de_Corriente_max_3_As,Corriente_max_4_kA,Area_de_Corriente_max_4_As,Evaluacion
30DS29,54001,221003T120001  54001,2022-10-03,12:00:01,"0,4","166,248","1397,29","21,7072","31,4629","41,5491","341,476","41,2072","337,057","40,9427","372,679","42,5492","346,075",OK
30DS29,54002,221003T120006  54002,2022-10-03,12:00:06,"0,396","167,158","1412,43","21,6236","31,49","41,6524","342,875","41,375","340,546","41,2911","379,754","42,8395","349,256",OK
30DS29,54003,221003T120017  54003,2022-10-03,12:00:17,"0,41","166,629","1399,77","21,6085","31,5419","41,5814","342,073","41,4911","342,035","41,2459","375,736","42,3105","339,926",OK
30DS29,54004,221003T120022  54004,2022-10-03,12:00:22,"0,398","166,758","1401,39","21,7414","31,438","41,5427","339,387","41,4717","340,049","41,162","375,26","42,5814","346,691",OK
30DS29,54005,221003T120031  54005,2022-10-03,12:00:31,"0,412","165,797","1393,89","21,7414","31,4019","41,4524","339,128","41,2201","338,708","40,7943","371,635","42,3298","344,422",OK
30DS29,54006,221003T120036  54006,2022-10-03,12:00:36,"0,398","165,3","1385,8","21,6597","31,7271","41,2717","337,696","41,0395","334,604","40,7749","372,013","42,2137","341,484",OK
30DS29,54007,221003T120129  54007,2022-10-03,12:01:29,"0,404","166,887","1399,45","21,6692","31,4132","41,6137","339,6","41,4008","340,441","41,1362","373,149","42,7363","346,257",OK
30DS29,54008,221003T120136  54008,2022-10-03,12:01:36,"0,402","167,287","1408,64","21,7452","31,4448","41,7233","343,194","41,8072","342,372","41,0911","375,666","42,6653","347,405",OK
30DS29,54009,221003T120142  54009,2022-10-03,12:01:42,"0,406","166,577","1401,42","21,7129","31,3974","41,6008","340,982","41,4395","340,203","41,0395","375,114","42,4975","345,123",OK
30DS29,54010,221003T120147  54010,2022-10-03,12:01:47,"0,408","166,222","1395,2","21,6749","31,359","41,5491","340,486","41,4653","339,708","40,8846","371,568","42,3234","343,437",OK
30DS29,54011,221003T120152  54011,2022-10-03,12:01:52,"0,398","166,571","1400,49","21,6977","31,5758","41,6137","340,767","41,4911","341,451","41,0072","373,569","42,4588","344,705",OK
30DS29,54012,221003T120158  54012,2022-10-03,12:01:58,"0,406","166,422","1394,72","21,6787","31,3116","41,5298","340,041","41,3749","339,381","41,0072","373,119","42,5105","342,18",OK
30DS29,54013,221003T120210  54013,2022-10-03,12:02:10,"0,402","166,358","1394,9","21,7243","31,4132","41,6717","344,192","41,4395","338,659","40,8588","368,947","42,3879","343,098",OK
30DS29,54014,221003T120307  54014,2022-10-03,12:03:07,"0,406","166,319","1395,49","21,5952","31,3883","41,5427","339,85","41,4395","339,251","40,9749","373,606","42,3621","342,779",OK
30DS29,54015,221003T120320  54015,2022-10-03,12:03:20,"0,414","166,655","1402,24","21,5914","31,4493","41,704","343,079","41,4717","341,615","41,033","373,496","42,4459","344,049",OK
30DS29,54016,221003T120326  54016,2022-10-03,12:03:26,"0,408","166,732","1403,35","21,6825","31,5713","41,5943","341,715","41,4717","341,954","41,1104","374,377","42,5556","345,309",OK
30DS29,54017,221003T120334  54017,2022-10-03,12:03:34,"0,406","166,474","1401,66","21,7205","31,6096","41,6653","341,319","41,4137","341,428","40,9943","373,248","42,4008","345,665",OK
30DS29,54018,221003T120340  54018,2022-10-03,12:03:39,"0,416","166,1","1394,84","21,6521","31,6164","41,5298","341,25","41,3104","338,589","40,9298","372,194","42,3298","342,809",OK
30DS29,54019,221003T120345  54019,2022-10-03,12:03:44,"0,396","165,551","1380,61","21,6445","31,3793","41,3814","336,79","41,0588","334,359","40,7298","368,421","42,3814","341,039",OK
30DS29,54020,221003T120350  54020,2022-10-03,12:03:50,"0,406","166,235","1392,03","21,6217","31,5396","41,4846","337,371","41,2911","339,264","41,0717","372,241","42,3879","343,151",OK
30DS29,54021,221003T120355  54021,2022-10-03,12:03:54,"0,406","166,274","1392,2","21,6578","31,3906","41,575","340,101","41,2524","336,988","40,9427","370,42","42,504","344,691",OK
30DS29,54022,221003T120400  54022,2022-10-03,12:04:00,"0,406","166,571","1400,69","21,7072","31,3477","41,575","341,341","41,2717","338,165","41,1427","374,955","42,5814","346,227",OK
30DS29,54023,221003T120405  54023,2022-10-03,12:04:05,"0,394","166,429","1403,83","21,6312","31,6074","41,5879","342,208","41,1491","338,097","41,2266","378,552","42,4653","344,974",OK
30DS29,54024,221003T120410  54024,2022-10-03,12:04:10,"0,398","166,493","1399,8","21,6104","31,6751","41,5943","342,134","41,5104","340,852","41,0395","374,971","42,3492","341,839",OK
30DS29,54025,221003T120427  54025,2022-10-03,12:04:26,"0,4","166,487","1397,62","21,6502","31,3454","41,504","339,502","41,3427","337,766","41,0975","375,092","42,5427","345,262",OK
30DS29,54026,221003T120432  54026,2022-10-03,12:04:31,"0,398","165,835","1385,78","21,7338","31,3996","41,5169","338,645","41,3814","339,277","40,7685","369,231","42,1685","338,63",OK
30DS29,54027,221003T120443  54027,2022-10-03,12:04:42,"0,394","166,764","1406,04","21,6426","31,4425","41,7621","346,412","41,6008","345,247","40,9556","371,961","42,4459","342,424",OK
30DS29,54028,221003T120448  54028,2022-10-03,12:04:47,"0,396","165,829","1385,47","21,5952","31,5103","41,4524","339,425","41,2653","337,336","40,9169","370,899","42,1943","337,812",OK
